anno,comune,codice_ente,macro_categoria_v2,importo_eur,totale_entrate_correnti_eur,quota_pct
2021,ABBIATEGRASSO,000270622,Altro,5928576.81,26233770.16,22.6
2021,ABBIATEGRASSO,000270622,Contributi agli investimenti,999996.26,26233770.16,3.81
2021,ABBIATEGRASSO,000270622,Fondi perequativi,3354957.82,26233770.16,12.79
2021,ABBIATEGRASSO,000270622,Imposte proprie,11378057.44,26233770.16,43.37
2021,ABBIATEGRASSO,000270622,Trasferimenti correnti,4572181.83,26233770.16,17.43
2025,ABBIATEGRASSO,000270622,Altro,8831052.21,31483884.23,28.05
2025,ABBIATEGRASSO,000270622,Contributi agli investimenti,2547906.67,31483884.23,8.09
2025,ABBIATEGRASSO,000270622,Fondi perequativi,3194003.27,31483884.23,10.14
2025,ABBIATEGRASSO,000270622,Imposte proprie,12498100.64,31483884.23,39.7
2025,ABBIATEGRASSO,000270622,Trasferimenti correnti,4412821.44,31483884.23,14.02
2021,BUCCINASCO,000548802,Altro,9441674.06,27829037.88,33.93
2021,BUCCINASCO,000548802,Contributi agli investimenti,536183.0,27829037.88,1.93
2021,BUCCINASCO,000548802,Fondi perequativi,3796038.41,27829037.88,13.64
2021,BUCCINASCO,000548802,Imposte proprie,11391944.12,27829037.88,40.94
2021,BUCCINASCO,000548802,Trasferimenti correnti,2663198.29,27829037.88,9.57
2025,BUCCINASCO,000548802,Altro,13757595.38,34168169.06,40.26
2025,BUCCINASCO,000548802,Contributi agli investimenti,277785.9,34168169.06,0.81
2025,BUCCINASCO,000548802,Fondi perequativi,3569906.66,34168169.06,10.45
2025,BUCCINASCO,000548802,Imposte proprie,13066669.92,34168169.06,38.24
2025,BUCCINASCO,000548802,Trasferimenti correnti,3496211.2,34168169.06,10.23
2021,CORSICO,000170659,Altro,5474314.84,28728823.67,19.06
2021,CORSICO,000170659,Contributi agli investimenti,852038.71,28728823.67,2.97
2021,CORSICO,000170659,Fondi perequativi,7119047.62,28728823.67,24.78
2021,CORSICO,000170659,Imposte proprie,12225294.04,28728823.67,42.55
2021,CORSICO,000170659,Trasferimenti correnti,3058128.46,28728823.67,10.64
2025,CORSICO,000170659,Altro,9867493.1,34717912.16,28.42
2025,CORSICO,000170659,Contributi agli investimenti,224947.36,34717912.16,0.65
2025,CORSICO,000170659,Fondi perequativi,6681103.2,34717912.16,19.24
2025,CORSICO,000170659,Imposte proprie,14901638.79,34717912.16,42.92
2025,CORSICO,000170659,Trasferimenti correnti,3042729.71,34717912.16,8.76
2021,MAGENTA,000215595,Altro,6928090.41,28517919.9,24.29
2021,MAGENTA,000215595,Contributi agli investimenti,857364.13,28517919.9,3.01
2021,MAGENTA,000215595,Fondi perequativi,1446542.83,28517919.9,5.07
2021,MAGENTA,000215595,Imposte proprie,13820062.45,28517919.9,48.46
2021,MAGENTA,000215595,Trasferimenti correnti,5465860.08,28517919.9,19.17
2025,MAGENTA,000215595,Altro,9489834.5,32192612.01,29.48
2025,MAGENTA,000215595,Contributi agli investimenti,665829.63,32192612.01,2.07
2025,MAGENTA,000215595,Fondi perequativi,1735715.03,32192612.01,5.39
2025,MAGENTA,000215595,Imposte proprie,13857486.44,32192612.01,43.05
2025,MAGENTA,000215595,Trasferimenti correnti,6443746.41,32192612.01,20.02
2021,ROZZANO,000369489,Altro,11512693.08,43468373.57,26.49
2021,ROZZANO,000369489,Contributi agli investimenti,1012410.27,43468373.57,2.33
2021,ROZZANO,000369489,Fondi perequativi,4668180.67,43468373.57,10.74
2021,ROZZANO,000369489,Imposte proprie,17869583.06,43468373.57,41.11
2021,ROZZANO,000369489,Trasferimenti correnti,8405506.49,43468373.57,19.34
2025,ROZZANO,000369489,Altro,10326827.53,50358898.46,20.51
2025,ROZZANO,000369489,Contributi agli investimenti,2391945.6,50358898.46,4.75
2025,ROZZANO,000369489,Fondi perequativi,6844668.06,50358898.46,13.59
2025,ROZZANO,000369489,Imposte proprie,21940508.58,50358898.46,43.57
2025,ROZZANO,000369489,Trasferimenti correnti,8854948.69,50358898.46,17.58
2021,VIGEVANO,000727279,Altro,12277163.74,58938512.04,20.83
2021,VIGEVANO,000727279,Contributi agli investimenti,1261695.34,58938512.04,2.14
2021,VIGEVANO,000727279,Fondi perequativi,8233942.52,58938512.04,13.97
2021,VIGEVANO,000727279,Imposte proprie,28053144.78,58938512.04,47.6
2021,VIGEVANO,000727279,Trasferimenti correnti,9112565.66,58938512.04,15.46
2025,VIGEVANO,000727279,Altro,15391711.23,75217203.26,20.46
2025,VIGEVANO,000727279,Contributi agli investimenti,6763364.87,75217203.26,8.99
2025,VIGEVANO,000727279,Fondi perequativi,8365325.31,75217203.26,11.12
2025,VIGEVANO,000727279,Imposte proprie,33462308.62,75217203.26,44.49
2025,VIGEVANO,000727279,Trasferimenti correnti,11234493.23,75217203.26,14.94
